qn_no,qn,qn_type,op1,img1,op2,img2,op3,img3,op4,img4,prev_qn_no,sel_op,resource,glossary,add_annex,add_input,final_qn
67,My child(ren),scq,is/are full time NSman or student,https://www.linkpicture.com/q/Full-time_NSman_or_student.png,has/have a mental or physical disability,https://www.linkpicture.com/q/Has_have_a_mental_or_physical_disability.png,none of the above,https://www.linkpicture.com/q/None_apply.png,None,None,35,op2,0,None,None,None,0
68,No Path End Found,None,None,None,None,None,None,None,None,None,62,op1,0,None,None,None,1
69,Annex D,None,None,None,None,None,None,None,None,None,63,op1,1,None,None,None,1
70,Annex D,None,None,None,None,None,None,None,None,None,64,op1,1,None,None,None,1
71,No Path End Found,None,None,None,None,None,None,None,None,None,65,op1,0,None,None,None,1
72,Annex D,None,None,None,None,None,None,None,None,None,66,op1,1,None,None,None,1
73,Annex D,None,None,None,None,None,None,None,None,None,67,op1,1,None,None,None,1
74,No Path End Found,None,None,None,None,None,None,None,None,None,62,op2,0,None,None,None,1
75,Annex D,None,None,None,None,None,None,None,None,None,63,op2,1,None,None,None,1
76,Annex D,None,None,None,None,None,None,None,None,None,64,op2,1,None,None,None,1
77,No Path End Found,None,None,None,None,None,None,None,None,None,65,op2,0,None,None,None,1
78,Annex D,None,None,None,None,None,None,None,None,None,66,op2,1,None,None,None,1
79,Annex D,None,None,None,None,None,None,None,None,None,67,op2,1,None,None,None,1
80,Annex E,None,None,None,None,None,None,None,None,None,62,op3,1,None,None,None,1
81,Annex E,None,None,None,None,None,None,None,None,None,63,op3,1,None,None,None,1
82,Annex E,None,None,None,None,None,None,None,None,None,64,op3,1,None,None,None,1
83,Annex E,None,None,None,None,None,None,None,None,None,65,op3,1,None,None,None,1
84,Annex E,None,None,None,None,None,None,None,None,None,66,op3,1,None,None,None,1
85,Annex E,None,None,None,None,None,None,None,None,None,67,op3,1,None,None,None,1
86,Annex F,None,None,None,None,None,None,None,None,None,16,op1,1,None,None,None,1
87,Annex F,None,None,None,None,None,None,None,None,None,17,op1,1,None,None,None,1
88,Annex F,None,None,None,None,None,None,None,None,None,18,op1,1,None,None,None,1
89,Annex F,None,None,None,None,None,None,None,None,None,19,op1,1,None,None,None,1
90,Annex G,None,None,None,None,None,None,None,None,None,16,op2,1,None,None,None,1
91,Annex G,None,None,None,None,None,None,None,None,None,17,op2,1,None,None,None,1
92,Annex G,None,None,None,None,None,None,None,None,None,18,op2,1,None,None,None,1
93,Annex G,None,None,None,None,None,None,None,None,None,19,op2,1,None,None,None,1
94,Annex F,None,None,None,None,None,None,None,None,None,57,op1,1,None,None,None,1
95,Annex G,None,None,None,None,None,None,None,None,None,57,op2,1,None,None,None,1
