Case Facts,Advice
"With respect to maintenance order, ex-husband (ex-H) has to pay the utilities bill with respect to the internet. Although ex-H has been paying, he has taken out the router; hence the children are unable to access internet. 

Complainant also has a PPO. ","Ex-H is obliged / ordered to pay for the internet bills. She may get a router of her own or apply for a new internet under her name ; and she may then proceed to send the bill to him for payment. If he refuses, then he would  be in breach of the family court order, and thus she may go back to the family court. 



"
"1. Applicant has an upcoming maintenance enforcement claim. Applicant's ex-husband has never paid maintenance. 

It was settled in the 1st enforcement case in 2020 for 8 months of non-payment the amount of 60k. Judge states that the applicant can come for the full sum if the ex-husband does not make a single payment. 

Ex-husband has a fully paid HDB. Ex-husband owes the applicant 108k currently. Ex-husband has never had any money and applicant was advised back then to go after his CPF and there was no need to turn up to court. Ex-husband's HDB is valued at 375k currently. 

The ex-husband bought the HDB in 2021. Applicant asked for back payment in 2020 and the ex-husband was given the maintenance order.

Applicant lost her job recently and needs to pay her children's school fees. Applicant is also in debt.

2. Applicant also enquires about her wrongful dismissal. The notice was given on the day itself and it was not a proper retrenchment. Under her contract, the company should give the applicant 1 month's notice.","Lawyer advises that the Judge could order the ex-husband to owe her the 108k. However, it may not be useful to her as the HDB cannot be seized as it is protected. Applicant can go after CPF, bank account and items in the house. 

Lawyer advises the applicant to highlight to the court that the ex-husband had never paid any maintenance over the years, however, he had just bought a house. Applicant should definitely propose the ex-husband downgrade his house. Applicant can also propose that she have a share in the ex-husband's HDB. 

Applicant is advised to explain her current circumstances to the Judge and highlight that the ex-husband is deliberately in contempt of the court. 

Lawyer politely declines to hand the applicant his name."
"- Applicant (a divorcee) has been paying maintenance of $2,000 since 2020.
- Applicant feels that he has been played out by his wife and that he has been paying maintenance unnecessarily. 
- Applicant pays $1,000 to Syariah Court and $1,500 to Family Court. 
- Applicant states that when parties divorced, he did not leave the wife and kids with a debt and the kids had moneys in their respective bank accounts.","- Lawyer advised applicant on the timeline to appeal after the judgement given.
- Lawyer advises that the Applicant can cease to make maintenance payments for the children who reach 21 years of age. Unless if the Applicant's children makes an application to court seeking maintenance after they turn 21 years old, should they attend University. 
- Lawyer advises that Applicant can make an application via summons to vary the maintenance downwards if the ex-wife's salary is higher than the Applicant's. 
- Lawyer advises that if the Applicant is unable to put his trust in lawyers after previous experience, Applicant can choose to do it on his own. "
"Applicant has a hearing for variation based on maintenance order in 2010. Family court matter since 2010. There was another maintenance order in 2017 and her ex-husband disappeared afterwards. Applicant got lawyer to get a WSS to sell the property. Suddenly, her ex-husband came back to slander applicant and the WSS was stopped. 

Applicant had been to jail 3 times over false orders. There is proof of him lying under oath and the judge told him that he has to settle with applicant. But he ignores everything that the judge is saying. Ex-husband defrauded her of shares in her company and owes her company.

Her ex-husband has been meeting with her children and making them sign declaration under oath to get her out of the house she has the rights to stay in.

He sends the money to the children and they should send the money to her. He told her children not to send money to her or else no money will come after that.","Lawyer states that applicant can ask the court to refer to the previous court order. For her to state her ex-husband's failure to pay maintenance. 

Lawyer states that the purpose of the variation is to let the court know that there is a material chain of circumstances. The most important thing is for the applicant to let the court know why she took up the variation. 

Lawyer states that applicant should be taking up enforcement of maintenance order and not variation. 

Lawyer states that applicant needs to put in the account number for monthly maintenance to be sent to her.

"
"Applicant has a maintenance order in which he wants to make a maintenance order but after expiry of appeal.

His earnings have been reduced after unfortunate circumstances in which the court did not take into account.
His GM has been giving the applicant money to give his co workers but the court refused to take that into consideration
Applicant is unable to pay for the maintenance.

Applicant walked out of court before the verdict. ","Applicant should have already paid.

Applicant not paying means that he has breached the court order. Applicant has to pay certain fees to vary the order (filing fees)

The difficulty in apply for variation order is that the circumstances changed before the order but the court did not take it into consideration. There is no real time difference from the order being made till now as the circumstances haven't changed, just not being taken into consideration. 

There are no other viable alternatives for now as all alternatives cost money.

Applicant can try stop paying for utilities and pay for the maintenance and explain to the wife the gravity of the situation and pray for an agreement of variation. Otherwise, he can consider selling the house."
Applicant concluded his divorce proceeding and received his final Divorce Certificate. He owes a maintenance of $2000. He has recently lost his job which has resulted in a decrease in his income.  He is paying no alimonies to his unemployed wife and is only paying maintenance for his daughter.,Applicant can apply to reduce quantum of maintenance. There has to be a material change in his circumstances significant to reduce this maintenance sum. Applicant would have to show evidence of his resignation and how it is a constructive dismissal (not self-induced). He would also have to show his efforts to maintain a similar financial position. 
"applicant unable to pay maintenance fee ordered by the court 

applicant was unable to submit documents online. he brought the physical papers to the court but was rejected ","applicant needs to apply to vary the order and mention that when the court was making the order, the court did not have the full facts as the applicant was unable to submit the documents online   

applicant can go to the family court to ask them for a variation 

applicant should get the lawyer to fight the case if possible "
"Family - maintenance for son; biological father has been uncontactable. She is seeking a maintenance application against the father. 

Father has been completely uncontactable for the past 7 years. She would like the money for her son to pursue tertiary education. 

Son is currently 20 and turning 21 in 2 months. ","If the father cannot be located, there may not be any recourse available. 

Once the son turns 21, she will not be able to seek any maintenance for the son. Son will have to apply on his own, provided that he has a placing in a local university. 

One more consideration is why the applicant has not taken action for 7 years. If the husband has been informed that applicant has made an order and the applicant has knowledge of it, then an order may be enforced. 

If the applicant is to have any recourse, she needs to use her means to locate him. She may consider filing a police report for the missing father. "
"Applicant has a 6 year old child, wants custody of the child but the wife refuses. Applicant is not legally married to his wife. Currently, the wife is asking for sole custody but expects the applicant to pay for maintenance.

Applicant is a prime mover and earns $2000/month, he finds it extremely hard to provide maintenance.","Regarding maintenance:
-Applicant has to pay some sort of maintenance regardless
- Can appeal to the court in October to start maintenance payment in November instead of immediately
- Make a list of his expenses and see what figure is left that he deems appropriate for the maintenance payment.
- Can either do it himself or go through Legal Aid Bureau, but rejected because salary passes the threshold
- Find out what the wife is working as and how much she is earning now

Regarding custody:
- usually joint custody will be awarded, but can apply for the child to stay with the applicant. 
- care and control can go to the mother, no need to contest for custody "
"Applicant has a BTO that comes with a CGO (mandatory counselling order), the review is in 6 months. Applicant also has a PPO.  Applicant has no income and husband is not paying maintenance.","Court processes are lengthy, and the schedule cannot be planned. 

When applicant files for maintenance, must state the day that husband did not pay. Applicant's issue has started from July when husband did not pay, so court summons will begin from July.

Order for maintenance or divorce or PPO? Usually maintenance will come first. But there is no difference in the order nor legal advantage. Can even do all 3 at the same time.

Interim maintenance is just the maintenance before the court can hear out on whether the maintenance wishes to be changed. 

PJP is something that is outside of court, applicant cannot use PJP as she has already filed a family court case and previous negotiations do not work. 

Lawyer has advised the applicant client to get a lawyer. "
"Applicant had divorced his ex-wife 15 years ago, now she is claiming for the arrears of the maintenance of their children, 3 of whom are now 21 years old. Claims total about $64,000. The matter has gone to court. The applicant's ex-wife had previously claimed for $30,000 3-4 years back, and there is still balance from that claim. 

The applicant has re-married and is facing financial difficulties in paying the maintenance. Applicant also has to pay his current wife's past medical bills.  Over the years, the applicant had not paid the amount to the ex-wife's account, but had contributed some to his children, however he does not have evidence regarding this. 

The applicant now does not have a good relationship with the ex-wife and the children. 
","The arrears maintenance payments would need to be paid and cannot be cancelled. The applicant can possibly discuss with the ex-wife regarding his situation, as she is the only one who can withdraw the claim. Applicant can possibly see applicant's MP. "
-,-
"The applicant underwent a divorce 1.5 years ago. The applicant's ex-wife is getting paid 2.5k. The applicant is a former employee of a company undergoing a fraud scheme. He is currently self-employed and earns around 3k. He is struggling to pay his maintenance fee of 5.5k. Which includes 3k of maintenance fee for his children and 2.5k to his wife. The applicant is paying for the helper, insurance for his children and the children's school fees. The applicant wants to reduce the total maintenance fee to 1.5k. ",The applicant should file for a variation of maintenance order at the Family court. It will not be difficult to reduce the 3k amount for his wife but will not be so for the child's maintenance. The applicant should show his current IRAS pay slip and the money stuck in his previous company. 
"Applicant wants to ask about maintenance issue with reference to her ex husband. $650 to her daughter, $80,000 stuck in CPF. currently daughter's payment has accumulated to $25,000.

Divorced finalised in 2006, property was transferred to her and she is living there now. Court order to sell the house because ex husband owes HDB certain amount of money, and he owes her $200,000. Ex husband took a loan from applicant to buy a shophouse, making her pay for the installment while he keeps the rent.","-Regarding the $80,000, applicant is advised to show it to the Family Court so that they can decide accordingly from there, was discharged from Bankruptcy 2 years ago. Go to CPF and ask their opinion. "
"- Ex wife seeking maintenance reinforcement. Applicant has not been paying since the start of the year, supposed to be paying for 4 children $2000.

Eldest child turned 21 and automatically taken off, applicant left with 3 children to pay for. Second child quarreled with the applicant's ex wife and is now staying with the applicant now.

Divorce was finalised in 2016 by court order decided by a judge, lawyers engaged then.

Zoom hearing yesterday.","- Go through mediation process first. 

- 2016 and now, applicant is earning the same amount of money. Difficult to argue that there should be a change in maintenance fee unless can show material change circumstances. Likely need an installment plan to repay the $9000. 

- variation application should be done first 

- summon to change court order and affidavit (evidence) to be submitted, better to engage a lawyer."
"Applicant issued a court order last week for her husband to pay her maintenance fee for her and her 4 children, payment with effect from 3 October. They are not divorced yet. 

Recently, the husband has been saying that he wants to run away to India. The husband supposedly has savings in a bank in overseas.","Applicant will have to wait till 3 October. If there is no payment coming in for the maintenance, she can go back to court to obtain an enforcement order against him. But if the husband doesn't come back at all, then it seems that the Applicant doesn't have recourse. What the Applicant has now is an Interim Maintenance Order that is made during the marriage and not during divorce proceedings.

There is nothing that the Applicant can do to stop the husband from leaving the country/abscond. It will be more complicated to serve the enforcement order on the husband if he is in overseas. She would need to apply to Court for a different form of service (instead of personal service).

Applicant could consider taking out an enforcement order against the husband on 3 October, but it would be difficult if the husband has not left the country. She would need to explain why the husband is likely to abscond. 
 
Applicant would also need to check if the court orders can be enforceable in overseas, which is doubtful."
"Applicant's ex-wife (divorced 10 over years ago) had been ""missing"" for around 15 years, bringing the daughter along. She had not asked for the payment of maintenance at that time. Now, she has come back and is asking for maintenance. Applicant has agreed to give her some money after going through mediation.

During the mediation, it was decided than the sum would be about $30,000, every month paying $150. He has been doing so, but now, she is asking him for the $500 maintenance that was agreed during divorce proceedings for the daughter, which he cannot afford (income $2000 a month). They have gone to court for this, and that judge ordered the $150 maintenance. The daughter is 17 now, still a student.

Applicant has an enforcement order against him stating that he agreed to pay her a lump sum in instalments. The arrears that he agreed to for the mediation is for the $500 maintenance for the daughter at the time of the divorce. This amounts to $150 a month.","Applicant should consider hiring a lawyer, or it will be very difficult for him to fight against this. But he can still do it on his own.

The ex-wife may take out an application for an enforcement order $500 maintenance, so the Applicant should be prepared for that.

It seems hard to vary the consent order for a lower amount. He would have to take out a Variation Order with reasons in the application. If he does not have a lawyer, he does not need to file an affidavit. Applicant should check whether the daughter is still studying. If the daughter is still going to study till 21, then he would still have to pay the maintenance. If the daughter is 18 and above or working, it will be easier for the Variation Order to be given.

Applicant can ask to have access to the child. Applicant should also put reasons and ask the judge to make an order to give Applicant reasonable access to the child (with the days and time).

Regarding the compensation for not seeing his child for over 10 years, that should have been discussed at the mediation when the amount in arrears was discussed.

As to whether Applicant can go back to get the court to rescind the consent enforcement order, it is unlikely. But Applicant would have to give reasons as to why he had consented, and why he wants it rescinded."
"-She claimed a maintenance order and her ex-husband had violated the order- 1 room rental is to go to her. She got a divorce in overseas. 
But the husband did not give the full rent to her. One child is under her custody.  ",#NAME?
"-Applicant has a settlement agreement from a divorce
-Divorce court order explicitly stated that if applicant received a 35% share of a property, there would be no maintenance given
- Applicant has received her share but still wants maintenance from the ex-husband",#NAME?
"Applicant has an ongoing matter at the family court. Judge told him to submit all relevant documents in the previous hearing. He shares a child with his ex-wife and currently pays $500 a month for maintenance. The child is turning 5 this year. He is the sole breadwinner in his family of 4 as his father and brother do not work due to their medical conditions. 

Applicant still has outstanding arrears for the maintenance of $500. ","Documents he has to show the court: 
Pay slip 
Income tax 
CPF bank statement 
Utility bills
And any other bills he is paying for

How to fight against the child maintenance amount? 

File a variation application at the family court. Get a medical report for his brother and father who are not working to show that his finances are not well. Create a separate document to show that he is facing financial problems. Submit all of these to court and ask to vary the order from $500 to $300. 

The arrears for $500 should still be paid off. 

How many sets of documents should the applicant prepare?
He needs to prepare: one set for court, one set for himself and one set for his ex-wife

Applicant also needs to check if he needs to file the documents at the iFAMs website."
"-Regarding MSS application that wife has applied for. Applicant intends to appeal the court order for reasons of wanting the maintenance amount lowered. 

Current value is 2.6k for the 3 kids per month. Applicant alleges that the whole family's expenses in total are 2.7k for the past 6 months and he is dissatisfied that he is paying 2.6k alone given that his wife is still working. ","-Applicant should appeal the decision. Based on the applicant's information, there is a joint liability for both parents to maintain the children. If his wife is working and earning, on the face of it he could appeal for a lower amount. 

-Applicant to put down a deposit of $3000 and will have 2 weeks to file an appeal, which will be before a High Court judge. There will be a PTC conference before the hearing for submissions and procedural matters. 

-There are specific forms that the Applicant has to file through e-Litigation. Applicant should speak to the State Courts staff and get them to help him apply for the appeal and receive directions for procedural matters related to the appeal. 

-Applicant was walked through the appeals outcome - on how the court may throw the case out, lower the cost to whatever the court deems fit, or give the Applicant his requested quantum. 

-Applicant may want file an appeal after speaking to his lawyer urgently as there is a good chance that his ex-spouse may also appeal to increase the maintenance quantum. His deadline is 14 days from last Friday. 

-Applicant may want to ask his lawyers whether they think the maintenance is fair. There may be no point to appealing if his lawyers' assessment is that the quantum is fair.

"
"-Applicant is claiming maintenance from her husband who she is still married to
- Applicant wants to divorce her Husband and seek maintenance payouts. 
- Applicant applied for maintenance under the Family Courts but worries about her husband's capacity to pay the maintenance.
- Applicant wants to see whether she can file the maintenance claim under the Shariyah Court",#NAME?
"Applicant's son turning 21 this week and he has a couple of Australian University offers. He has been exempted from NS because he was depressed during his A levels. Applicant is divorced and hence, wants to apply for the extension of the monthly maintenance from the husband. When son turns 21, son wants to file a case to ask his father to support him for his university studies. Applicant does not think her son can go to court by himself because he will get stressed and wants to request for a zoom trial.","Advised that applicant's son should quickly apply for a maintenance order not her. As for whether it can be a zoom call, depends on the court's approval. Advised applicant to present evidence of the university offer and income.
 "
"- Applicant has a grandchild and he gave a lot of money to his child, but he then realized he was scammed of his money as the mother (his child's ex-wife) of his grandchild did not use the money for medical insurance for his grandchild. Instead, applicant alleged that the money was used for gambling by his child's ex-wife. Further, his ex-wife had claimed for hospitalization fees from applicant and his child. 
- His child is 30+ years old and is currently residing in Thailand 
- However, his child is under the threat of his ex-wife, as she keeps threatening that he will be ""get caught"". ",#NAME?
"Applicant is not able to locate her ex son-in-law as she had lost his particulars.
Applicant's son-in-law had defaulted on his maintenance payments.",Applicant advised to seek advise from Legal Aid Bureau.
"Applicant has a maintenance suit for children ongoing (7 Oct 2022 is the mention, 19 Oct 2022 is the hearing). First and second mediation has been done, but there are still disputes. At present, father of the child doesn't need to give maintenance fees (and does not want to). Father of the child and Applicant are not married, the child's father is currently in prison (and will be for about 16 years) and the child is in Vietnam. Child is now four years old, currently not a Singaporean. Applicant is not a citizen; the child's father is. Applicant is currently not working.","The law cannot help in the citizenship procedure, it is a matter of governmental procedures relating to citizenship, the courts cannot grant citizenship. Applicant would have to go to ICA to get more details on how to apply for citizenship.

The law/court can help in maintenance and other matters relating to children's custody, care and control and access, but cannot grant citizenship. For maintenance, Applicant will have to start preparing a form listing expenses related to the child, with proof (like receipts), before the court appearances. 

Applicant can also consider whether she wants to proceed with the custody issues now or when the child's father completes his sentence. Applicant can also apply to change the maintenance fee amounts in the future. The Court will also consider whether Applicant will be able to support the child, and this is usually done through proof of employment."
"-Mutual agreed divorce so the Applicant does not want to hire a lawyer. Divorce is proceeding under the grounds of 3 years separation + consent. Applicant is starting the divorce proceedings. The Applicant's spouse has not supported the family financially for the past few years. 

Applicant is a nurse who works at NUH. She was married in 2017 and has one very young child who was born in 2018. The child is taken care of by the Applicant's mother in Malaysia.  The son will return to Singapore to start his education in K1. The Applicant does not want any maintenance from her spouse because she does not want him to have any contact with her son. ","-The Applicant should ask for maintenance from the Court, and this will allow the Applicant to vary the maintenance in future. This is to be fair to the Applicant's son, to allow a way to make sure the son is well taken care of in future. Just because the Applicant's spouse has not paid in the past, does not mean he does not need to pay in future.

-Whether or not the Applicant's ex-spouse provides maintenance or not is a separate issue 

-As far as the son's expenses are concerned, the court will consider the salaries of both parents' salaries when calculating maintenance.

-Now that the marriage is over, it is best to focus on ancillary matters. As there don't seem to be many contentious issues in the divorce, it should be fine to proceed on the maintenance application concurrently with the divorce proceedings. "
Applicant's ex-spouse does not reside in Singapore. Applicant's ex-spouse has not been paying his maintenance fees since April 2022. A warrant of arrest has been issued by the Singapore court. The applicant is undergoing an ongoing divorce settlement.,"Applicant can consider getting the arrest warrant registered in the Indian court, where her ex-spouse resides. Applicant should enquire how the above procedure should be done in the state that her ex-spouse is residing in. Applicant should start an action against him in India. Applicant should also press for time with the Syariah court regarding her divorce settlement with her ex-spouse. "
"Applicant is in the process of getting divorced from his wife. Applicant alleges that he had always been living financially separate from his wife. However, recently, the ex-wife complained that she does not have enough money. As a result, the ex-wife applied to the FJC for a maintenance order, which was later granted.

The terms of the maintenance order was: 
Applicant makes a $2100 one time payment, with additional payments for the child's expenses to be paid by the wife.

Applicant has complied with his part of the maintenance order by transferring $2100, but he alleges that his wife had refused to perform her part of the obligations, as she had refused to pay for their children's expenses.","The Applicant has to go back to the FJC to vary the maintenance order on the basis that his wife has not been complying with the order. 

The Applicant is entitled to object/contest any application for a maintenance order made by his wife. If the wife wants to apply for a new maintenance order ordering the Applicant to maintain her, the Applicant can always object to it before the FJC. "
"Applicant's ex-husband has been paying maintenance  since their divorce until 6 months ago, when he retired and stated that he was no longer able to pay maintenance. Applicant has 2 children with the ex-husband. 

Applicant went to the FJC to get a court order to compel him to pay. Applicant and her ex-husband went for compulsory mediation. The ex-husband only wishes to pay a maximum of S$100 per month, much lower than the $800 that the Applicant originally wishes or the S$450 suggested by the mediator. Ex-husband subsequently expressed his wishes to apply for a variation order to the court, premised on the fact that he is no longer drawing an income.

Mediator also reminded the ex-husband that the 6 months arrears of maintenance still needs to be paid, which the ex-husband paid promptly. Applicant argues that that indicates that he still has money to pay her. 

Applicant alleges that her ex-husband threatened her children that if he still has to pay maintenance, he will sue their children for parents' maintenance so that he can pay her. 

There is a court hearing scheduled on 13th September 2022.","The court hearing is at the FJC

The court hearing on 13th September will be an opportunity for the Applicant. 

The court will give the Applicant directions to present her arguments as to why the maintenance order should not be varied. Applicant can represent herself."
"Applicant seeks maintenance from ex-boyfriend for their 2.5 year old child as she did not get married. Applicant refuses to take up any marriage counselling.

Applicant received interim order for maintenance for their child from the Family Court. Applicant does not want any contact with the child's biological father as he had an affair. 

Court is yet to hear whether the child's biological father agree or dispute the maintenance of the child.","Applicant would likely get maintenance order for their child from the biological father. Applicant is also advised to attend counselling sessions. 

However, applicant is unlikely to get PPO order against the biological father as there was no domestic violence. "
"Applicant got divorced in 2019 when she did not have proper legal advice. She received final judgement at the time. 

Applicant was given allowance of $148,000 which she alleges was part of her savings. Also, she has been paid $5,000 monthly for maintenance for 5 years.

According the agreement, ex-husband is ordered to pay 1/3 of his salary in the event he loses his job or earn less than $10k per month.

Additionally, applicant is Singapore PR and she needs to apply for re-entry permit as it is approaching 5 years. Her PR has been sponsored by her ex-husband. She is currently jobless.
","Applicant can apply to the Family court and apply for variation of interim judgement pertaining to maintenance of $5,000 monthly for 5 years so that husband will come to discuss and agree on the extension of maintenance. 

Applicant can go to immigration to get advice on whether she can get extension of PR status as ex-sponsor may not want to continue to sponsor."
"AP 22 y/o, currently schooling and working temporarily to help out her mother and also using her own money to maintain her siblings

 filed maintenance order against her father last month. also took up PPO against her father, likes to make a scene by locking them out of house, walking in on them while they are naked, make inappropriate comments about their bodies. 

AP has no intention to continue working full time. pending status to go back to school, waiting for school's answer as to whether or not she can go back

AP also applied for Domestic Exclusion Order, going through counselling now

AP's mother also currently in process of divorce with husband. She owns half the house","AP has the right to file maintenance claim against father (ppl over 21, studying in school)

show judge evidence of full time student, job temporary. make sure to highlight temporary nature of job, show proof as full time student. judge needs black and white evidence. also keep a copy for herself in the event judge refers to it. photocopy everything before submitting to the judge
 
for other evidences, can get letter from school saying that she will be going back to school. also see if can get letter from her boss

-for the second issue, yes can try to claim

-for DEO issue, stress to judge to highlight instances of harassment from father, that their safety is compromised, thus he should not have a right to enter AP's room. With court order, if AP's father enters her room again, can report to the police and show them the court order. Can also change the lock. But note he can also have the right to change the lock, as owner. "
